item_name,date,quantity_sold
Diclofenac 50mg (M01AB),2014-01-03,8
Diclofenac 50mg (M01AB),2014-01-04,2
Diclofenac 50mg (M01AB),2014-01-05,4
Diclofenac 50mg (M01AB),2014-01-06,5
Diclofenac 50mg (M01AB),2014-01-08,5
Diclofenac 50mg (M01AB),2014-01-09,7
Diclofenac 50mg (M01AB),2014-01-10,5
Diclofenac 50mg (M01AB),2014-01-11,5
Diclofenac 50mg (M01AB),2014-01-12,2
Diclofenac 50mg (M01AB),2014-01-13,7
Diclofenac 50mg (M01AB),2014-01-14,6
Diclofenac 50mg (M01AB),2014-01-15,4
Diclofenac 50mg (M01AB),2014-01-16,6
Diclofenac 50mg (M01AB),2014-01-17,2
Diclofenac 50mg (M01AB),2014-01-18,1
Diclofenac 50mg (M01AB),2014-01-19,4
Diclofenac 50mg (M01AB),2014-01-20,6
Diclofenac 50mg (M01AB),2014-01-21,2
Diclofenac 50mg (M01AB),2014-01-22,7
Diclofenac 50mg (M01AB),2014-01-23,4
Diclofenac 50mg (M01AB),2014-01-24,5
Diclofenac 50mg (M01AB),2014-01-25,6
Diclofenac 50mg (M01AB),2014-01-26,4
Diclofenac 50mg (M01AB),2014-01-27,4
Diclofenac 50mg (M01AB),2014-01-28,6
Diclofenac 50mg (M01AB),2014-01-29,5
Diclofenac 50mg (M01AB),2014-01-30,3
Diclofenac 50mg (M01AB),2014-01-31,1
Diclofenac 50mg (M01AB),2014-02-01,4
Diclofenac 50mg (M01AB),2014-02-02,7
Diclofenac 50mg (M01AB),2014-02-03,5
Diclofenac 50mg (M01AB),2014-02-04,1
Diclofenac 50mg (M01AB),2014-02-05,3
Diclofenac 50mg (M01AB),2014-02-06,3
Diclofenac 50mg (M01AB),2014-02-07,3
Diclofenac 50mg (M01AB),2014-02-08,3
Diclofenac 50mg (M01AB),2014-02-09,4
Diclofenac 50mg (M01AB),2014-02-10,5
Diclofenac 50mg (M01AB),2014-02-11,10
Diclofenac 50mg (M01AB),2014-02-12,9
Diclofenac 50mg (M01AB),2014-02-13,4
Diclofenac 50mg (M01AB),2014-02-14,4
Diclofenac 50mg (M01AB),2014-02-15,1
Diclofenac 50mg (M01AB),2014-02-17,7
Diclofenac 50mg (M01AB),2014-02-18,7
Diclofenac 50mg (M01AB),2014-02-19,3
Diclofenac 50mg (M01AB),2014-02-20,7
Diclofenac 50mg (M01AB),2014-02-21,6
Diclofenac 50mg (M01AB),2014-02-22,7
Diclofenac 50mg (M01AB),2014-02-23,1
Diclofenac 50mg (M01AB),2014-02-24,7
Diclofenac 50mg (M01AB),2014-02-25,5
Diclofenac 50mg (M01AB),2014-02-26,5
Diclofenac 50mg (M01AB),2014-02-27,3
Diclofenac 50mg (M01AB),2014-02-28,7
Diclofenac 50mg (M01AB),2014-03-01,6
Diclofenac 50mg (M01AB),2014-03-02,3
Diclofenac 50mg (M01AB),2014-03-03,4
Diclofenac 50mg (M01AB),2014-03-04,5
Diclofenac 50mg (M01AB),2014-03-05,3
Diclofenac 50mg (M01AB),2014-03-06,3
Diclofenac 50mg (M01AB),2014-03-07,4
Diclofenac 50mg (M01AB),2014-03-08,4
Diclofenac 50mg (M01AB),2014-03-09,1
Diclofenac 50mg (M01AB),2014-03-10,7
Diclofenac 50mg (M01AB),2014-03-11,6
Diclofenac 50mg (M01AB),2014-03-12,6
Diclofenac 50mg (M01AB),2014-03-13,2
Diclofenac 50mg (M01AB),2014-03-14,4
Diclofenac 50mg (M01AB),2014-03-15,4
Diclofenac 50mg (M01AB),2014-03-16,3
Diclofenac 50mg (M01AB),2014-03-17,9
Diclofenac 50mg (M01AB),2014-03-18,8
Diclofenac 50mg (M01AB),2014-03-19,4
Diclofenac 50mg (M01AB),2014-03-20,3
Diclofenac 50mg (M01AB),2014-03-21,6
Diclofenac 50mg (M01AB),2014-03-22,3
Diclofenac 50mg (M01AB),2014-03-23,6
Diclofenac 50mg (M01AB),2014-03-24,6
Diclofenac 50mg (M01AB),2014-03-25,4
Diclofenac 50mg (M01AB),2014-03-26,2
Diclofenac 50mg (M01AB),2014-03-27,4
Diclofenac 50mg (M01AB),2014-03-28,3
Diclofenac 50mg (M01AB),2014-03-29,4
Diclofenac 50mg (M01AB),2014-03-30,3
Diclofenac 50mg (M01AB),2014-03-31,5
Diclofenac 50mg (M01AB),2014-04-01,4
Diclofenac 50mg (M01AB),2014-04-02,2
Diclofenac 50mg (M01AB),2014-04-03,1
Diclofenac 50mg (M01AB),2014-04-04,3
Diclofenac 50mg (M01AB),2014-04-05,2
Diclofenac 50mg (M01AB),2014-04-06,2
Diclofenac 50mg (M01AB),2014-04-07,6
Diclofenac 50mg (M01AB),2014-04-08,4
Diclofenac 50mg (M01AB),2014-04-09,6
Diclofenac 50mg (M01AB),2014-04-10,3
Diclofenac 50mg (M01AB),2014-04-11,6
Diclofenac 50mg (M01AB),2014-04-12,7
Diclofenac 50mg (M01AB),2014-04-13,3
Diclofenac 50mg (M01AB),2014-04-14,1
Diclofenac 50mg (M01AB),2014-04-15,4
Diclofenac 50mg (M01AB),2014-04-16,2
Diclofenac 50mg (M01AB),2014-04-17,5
Diclofenac 50mg (M01AB),2014-04-18,7
Diclofenac 50mg (M01AB),2014-04-19,7
Diclofenac 50mg (M01AB),2014-04-21,1
Diclofenac 50mg (M01AB),2014-04-22,5
Diclofenac 50mg (M01AB),2014-04-23,6
Diclofenac 50mg (M01AB),2014-04-24,2
Diclofenac 50mg (M01AB),2014-04-25,3
Diclofenac 50mg (M01AB),2014-04-26,4
Diclofenac 50mg (M01AB),2014-04-27,4
Diclofenac 50mg (M01AB),2014-04-28,1
Diclofenac 50mg (M01AB),2014-04-29,3
Diclofenac 50mg (M01AB),2014-04-30,4
Diclofenac 50mg (M01AB),2014-05-02,7
Diclofenac 50mg (M01AB),2014-05-03,4
Diclofenac 50mg (M01AB),2014-05-04,2
Diclofenac 50mg (M01AB),2014-05-05,3
Diclofenac 50mg (M01AB),2014-05-06,7
Diclofenac 50mg (M01AB),2014-05-07,3
Diclofenac 50mg (M01AB),2014-05-08,2
Diclofenac 50mg (M01AB),2014-05-09,2
Diclofenac 50mg (M01AB),2014-05-10,5
Diclofenac 50mg (M01AB),2014-05-11,2
Diclofenac 50mg (M01AB),2014-05-12,4
Diclofenac 50mg (M01AB),2014-05-13,4
Diclofenac 50mg (M01AB),2014-05-14,1
Diclofenac 50mg (M01AB),2014-05-15,2
Diclofenac 50mg (M01AB),2014-05-16,5
Diclofenac 50mg (M01AB),2014-05-17,2
Diclofenac 50mg (M01AB),2014-05-18,3
Diclofenac 50mg (M01AB),2014-05-19,8
Diclofenac 50mg (M01AB),2014-05-20,1
Diclofenac 50mg (M01AB),2014-05-21,2
Diclofenac 50mg (M01AB),2014-05-22,4
Diclofenac 50mg (M01AB),2014-05-23,5
Diclofenac 50mg (M01AB),2014-05-24,3
Diclofenac 50mg (M01AB),2014-05-25,2
Diclofenac 50mg (M01AB),2014-05-26,3
Diclofenac 50mg (M01AB),2014-05-28,1
Diclofenac 50mg (M01AB),2014-05-29,4
Diclofenac 50mg (M01AB),2014-05-30,3
Diclofenac 50mg (M01AB),2014-05-31,6
Diclofenac 50mg (M01AB),2014-06-01,1
Diclofenac 50mg (M01AB),2014-06-02,4
Diclofenac 50mg (M01AB),2014-06-03,3
Diclofenac 50mg (M01AB),2014-06-04,1
Diclofenac 50mg (M01AB),2014-06-06,5
Diclofenac 50mg (M01AB),2014-06-07,9
Diclofenac 50mg (M01AB),2014-06-08,1
Diclofenac 50mg (M01AB),2014-06-09,6
Diclofenac 50mg (M01AB),2014-06-10,9
Diclofenac 50mg (M01AB),2014-06-11,4
Diclofenac 50mg (M01AB),2014-06-12,4
Diclofenac 50mg (M01AB),2014-06-13,1
Diclofenac 50mg (M01AB),2014-06-14,4
Diclofenac 50mg (M01AB),2014-06-16,4
Diclofenac 50mg (M01AB),2014-06-17,5
Diclofenac 50mg (M01AB),2014-06-18,2
Diclofenac 50mg (M01AB),2014-06-19,3
Diclofenac 50mg (M01AB),2014-06-20,7
Diclofenac 50mg (M01AB),2014-06-21,6
Diclofenac 50mg (M01AB),2014-06-22,4
Diclofenac 50mg (M01AB),2014-06-23,2
Diclofenac 50mg (M01AB),2014-06-24,3
Diclofenac 50mg (M01AB),2014-06-25,8
Diclofenac 50mg (M01AB),2014-06-26,3
Diclofenac 50mg (M01AB),2014-06-27,4
Diclofenac 50mg (M01AB),2014-06-30,6
Diclofenac 50mg (M01AB),2014-07-01,4
Diclofenac 50mg (M01AB),2014-07-02,3
Diclofenac 50mg (M01AB),2014-07-03,2
Diclofenac 50mg (M01AB),2014-07-04,4
Diclofenac 50mg (M01AB),2014-07-05,3
Diclofenac 50mg (M01AB),2014-07-06,4
Diclofenac 50mg (M01AB),2014-07-07,2
Diclofenac 50mg (M01AB),2014-07-08,6
Diclofenac 50mg (M01AB),2014-07-09,3
Diclofenac 50mg (M01AB),2014-07-10,2
Diclofenac 50mg (M01AB),2014-07-11,2
Diclofenac 50mg (M01AB),2014-07-12,8
Diclofenac 50mg (M01AB),2014-07-13,2
Diclofenac 50mg (M01AB),2014-07-14,5
Diclofenac 50mg (M01AB),2014-07-15,3
Diclofenac 50mg (M01AB),2014-07-16,4
Diclofenac 50mg (M01AB),2014-07-17,2
Diclofenac 50mg (M01AB),2014-07-18,9
Diclofenac 50mg (M01AB),2014-07-19,7
Diclofenac 50mg (M01AB),2014-07-20,3
Diclofenac 50mg (M01AB),2014-07-21,3
Diclofenac 50mg (M01AB),2014-07-22,5
Diclofenac 50mg (M01AB),2014-07-23,3
Diclofenac 50mg (M01AB),2014-07-24,5
